Word,Frequency
communication skill,803
computer science,758
equal opportunity,564
investment banking,453
asset management,452
opportunity employer,409
project management,404
banking asset,397
university degree,353
software development,338
english german,331
internal external,321
skill ability,319
degree computer,316
risk management,303
german english,294
bachelor degree,288
leading global,277
team player,270
shape future,266
master degree,255
sexual orientation,254
fluent english,252
innovative solution,250
wealth management,247
